i,x_i1,x_i2,y_i,e_i,h_ii
1,8.18,28.8,75.0,1.3,0.0536
2,6.1,33.1,57.5,1.5,0.0613
3,3.89,20.0,63.0,15.84,0.4666
4,5.95,25.4,37.5,-21.74,0.1359
5,5.54,36.3,47.0,-2.79,0.0658
6,10.8,14.4,88.0,-13.08,0.1815
7,9.07,4.7,97.0,3.15,0.2251
8,8.8,29.5,57.5,-20.36,0.0715
9,4.03,57.3,20.5,-6.63,0.1207
10,8.3,26.5,79.5,3.62,0.0603
11,8.36,35.6,73.0,1.81,0.0684
12,8.91,39.1,85.0,11.75,0.125
13,6.7,33.0,54.0,-6.46,0.0444
14,4.88,55.3,32.0,-2.5,0.097
15,8.32,34.5,72.0,0.49,0.0626
16,3.95,63.4,24.0,0.91,0.1648
17,9.42,31.3,89.0,7.6,0.1105
18,8.9,38.3,81.0,7.37,0.1176
19,6.22,39.4,56.5,3.18,0.039
20,8.45,30.9,81.5,7.0,0.06
21,4.06,59.9,22.5,-3.28,0.1355
22,7.75,33.8,75.5,7.78,0.0438
23,7.24,39.9,60.0,-0.53,0.0451
24,5.57,51.8,41.0,-0.54,0.0762
25,6.85,37.6,55.5,-3.47,0.0358
26,3.4,55.9,28.0,4.71,0.1406
27,3.98,56.6,25.0,-2.15,0.1189
28,7.19,31.6,70.5,5.16,0.0425
